1b,"[[""info_type"", ""identifier""], [""info_type.info"", ""identifier""], [""bottom 10 rank"", ""string""], [""="", ""keyword""], [""Seq Scan"", ""keyword""], [""info_type_id_movie_info_idx"", ""identifier""], [""info_type_id"", ""identifier""], [""info_type.id"", ""identifier""], [""="", ""keyword""], [""Bitmap Index Scan"", ""keyword""], [""movie_info_idx"", ""identifier""], [""movie_info_idx.info_type_id"", ""identifier""], [""info_type.id"", ""identifier""], [""="", ""keyword""], [""Bitmap Heap Scan"", ""keyword""], [""Inner"", ""keyword""], [""Nested Loop"", ""keyword""], [""movie_companies"", ""identifier""], [""movie_id_movie_companies"", ""identifier""], [""movie_companies.note"", ""identifier""], [""%(as Metro-Goldwyn-Mayer Pictures)%"", ""string""], [""!~~"", ""keyword""], [""movie_companies.movie_id"", ""identifier""], [""movie_info_idx.movie_id"", ""identifier""], [""="", ""keyword""], [""Index Scan"", ""keyword""], [""Inner"", ""keyword""], [""Nested Loop"", ""keyword""], [""company_type"", ""identifier""], [""company_type.kind"", ""identifier""], [""production companies"", ""string""], [""="", ""keyword""], [""Seq Scan"", ""keyword""], [""Hash"", ""keyword""], [""movie_companies.company_type_id"", ""identifier""], [""company_type.id"", ""identifier""], [""="", ""keyword""], [""Inner"", ""keyword""], [""Hash Join"", ""keyword""], [""title"", ""identifier""], [""title_pkey"", ""identifier""], [""title.production_year"", ""identifier""], [""2005"", ""number""], ["">="", ""keyword""], [""title.production_year"", ""identifier""], [""2010"", ""number""], [""<="", ""keyword""], [""AND"", ""keyword""], [""title.id"", ""identifier""], [""movie_companies.movie_id"", ""identifier""], [""="", ""keyword""], [""Index Scan"", ""keyword""], [""Inner"", ""keyword""], [""Nested Loop"", ""keyword""], [""Aggregate"", ""keyword""]]",30615.33,0.392
1d,"[[""info_type"", ""identifier""], [""info_type.info"", ""identifier""], [""bottom 10 rank"", ""string""], [""="", ""keyword""], [""Seq Scan"", ""keyword""], [""info_type_id_movie_info_idx"", ""identifier""], [""info_type_id"", ""identifier""], [""info_type.id"", ""identifier""], [""="", ""keyword""], [""Bitmap Index Scan"", ""keyword""], [""movie_info_idx"", ""identifier""], [""movie_info_idx.info_type_id"", ""identifier""], [""info_type.id"", ""identifier""], [""="", ""keyword""], [""Bitmap Heap Scan"", ""keyword""], [""Inner"", ""keyword""], [""Nested Loop"", ""keyword""], [""movie_companies"", ""identifier""], [""movie_id_movie_companies"", ""identifier""], [""movie_companies.note"", ""identifier""], [""%(as Metro-Goldwyn-Mayer Pictures)%"", ""string""], [""!~~"", ""keyword""], [""movie_companies.movie_id"", ""identifier""], [""movie_info_idx.movie_id"", ""identifier""], [""="", ""keyword""], [""Index Scan"", ""keyword""], [""Inner"", ""keyword""], [""Nested Loop"", ""keyword""], [""company_type"", ""identifier""], [""company_type.kind"", ""identifier""], [""production companies"", ""string""], [""="", ""keyword""], [""Seq Scan"", ""keyword""], [""Hash"", ""keyword""], [""movie_companies.company_type_id"", ""identifier""], [""company_type.id"", ""identifier""], [""="", ""keyword""], [""Inner"", ""keyword""], [""Hash Join"", ""keyword""], [""title"", ""identifier""], [""title_pkey"", ""identifier""], [""title.production_year"", ""identifier""], [""2000"", ""number""], ["">"", ""keyword""], [""title.id"", ""identifier""], [""movie_companies.movie_id"", ""identifier""], [""="", ""keyword""], [""Index Scan"", ""keyword""], [""Inner"", ""keyword""], [""Nested Loop"", ""keyword""], [""Aggregate"", ""keyword""]]",30615.14,0.393
1c,"[[""info_type"", ""identifier""], [""info_type.info"", ""identifier""], [""top 250 rank"", ""string""], [""="", ""keyword""], [""Seq Scan"", ""keyword""], [""info_type_id_movie_info_idx"", ""identifier""], [""info_type_id"", ""identifier""], [""info_type.id"", ""identifier""], [""="", ""keyword""], [""Bitmap Index Scan"", ""keyword""], [""movie_info_idx"", ""identifier""], [""movie_info_idx.info_type_id"", ""identifier""], [""info_type.id"", ""identifier""], [""="", ""keyword""], [""Bitmap Heap Scan"", ""keyword""], [""Inner"", ""keyword""], [""Nested Loop"", ""keyword""], [""movie_companies"", ""identifier""], [""movie_id_movie_companies"", ""identifier""], [""movie_companies.note"", ""identifier""], [""%(as Metro-Goldwyn-Mayer Pictures)%"", ""string""], [""!~~"", ""keyword""], [""movie_companies.note"", ""identifier""], [""%(co-production)%"", ""string""], [""~~"", ""keyword""], [""AND"", ""keyword""], [""movie_companies.movie_id"", ""identifier""], [""movie_info_idx.movie_id"", ""identifier""], [""="", ""keyword""], [""Index Scan"", ""keyword""], [""Inner"", ""keyword""], [""Nested Loop"", ""keyword""], [""company_type"", ""identifier""], [""company_type.kind"", ""identifier""], [""production companies"", ""string""], [""="", ""keyword""], [""Seq Scan"", ""keyword""], [""Hash"", ""keyword""], [""movie_companies.company_type_id"", ""identifier""], [""company_type.id"", ""identifier""], [""="", ""keyword""], [""Inner"", ""keyword""], [""Hash Join"", ""keyword""], [""title"", ""identifier""], [""title_pkey"", ""identifier""], [""title.production_year"", ""identifier""], [""2010"", ""number""], ["">"", ""keyword""], [""title.id"", ""identifier""], [""movie_info_idx.movie_id"", ""identifier""], [""="", ""keyword""], [""Index Scan"", ""keyword""], [""movie_companies.movie_id"", ""identifier""], [""title.id"", ""identifier""], [""="", ""keyword""], [""Inner"", ""keyword""], [""Nested Loop"", ""keyword""], [""Aggregate"", ""keyword""]]",29850.1,8.482
1a,"[[""info_type"", ""identifier""], [""info_type.info"", ""identifier""], [""top 250 rank"", ""string""], [""="", ""keyword""], [""Seq Scan"", ""keyword""], [""info_type_id_movie_info_idx"", ""identifier""], [""info_type_id"", ""identifier""], [""info_type.id"", ""identifier""], [""="", ""keyword""], [""Bitmap Index Scan"", ""keyword""], [""movie_info_idx"", ""identifier""], [""movie_info_idx.info_type_id"", ""identifier""], [""info_type.id"", ""identifier""], [""="", ""keyword""], [""Bitmap Heap Scan"", ""keyword""], [""Inner"", ""keyword""], [""Nested Loop"", ""keyword""], [""movie_companies"", ""identifier""], [""movie_id_movie_companies"", ""identifier""], [""movie_companies.note"", ""identifier""], [""%(as Metro-Goldwyn-Mayer Pictures)%"", ""string""], [""!~~"", ""keyword""], [""movie_companies.note"", ""identifier""], [""%(co-production)%"", ""string""], [""~~"", ""keyword""], [""movie_companies.note"", ""identifier""], [""%(presents)%"", ""string""], [""~~"", ""keyword""], [""OR"", ""keyword""], [""AND"", ""keyword""], [""movie_companies.movie_id"", ""identifier""], [""movie_info_idx.movie_id"", ""identifier""], [""="", ""keyword""], [""Index Scan"", ""keyword""], [""Inner"", ""keyword""], [""Nested Loop"", ""keyword""], [""company_type"", ""identifier""], [""company_type.kind"", ""identifier""], [""production companies"", ""string""], [""="", ""keyword""], [""Seq Scan"", ""keyword""], [""Hash"", ""keyword""], [""movie_companies.company_type_id"", ""identifier""], [""company_type.id"", ""identifier""], [""="", ""keyword""], [""Inner"", ""keyword""], [""Hash Join"", ""keyword""], [""title"", ""identifier""], [""title_pkey"", ""identifier""], [""title.id"", ""identifier""], [""movie_info_idx.movie_id"", ""identifier""], [""="", ""keyword""], [""Index Scan"", ""keyword""], [""movie_companies.movie_id"", ""identifier""], [""title.id"", ""identifier""], [""="", ""keyword""], [""Inner"", ""keyword""], [""Nested Loop"", ""keyword""], [""Aggregate"", ""keyword""]]",30004.2,10.67
2a,"[[""keyword"", ""identifier""], [""keyword.keyword"", ""identifier""], [""character-name-in-title"", ""string""], [""="", ""keyword""], [""Seq Scan"", ""keyword""], [""keyword_id_movie_keyword"", ""identifier""], [""keyword_id"", ""identifier""], [""keyword.id"", ""identifier""], [""="", ""keyword""], [""Bitmap Index Scan"", ""keyword""], [""movie_keyword"", ""identifier""], [""movie_keyword.keyword_id"", ""identifier""], [""keyword.id"", ""identifier""], [""="", ""keyword""], [""Bitmap Heap Scan"", ""keyword""], [""Inner"", ""keyword""], [""Nested Loop"", ""keyword""], [""movie_companies"", ""identifier""], [""movie_id_movie_companies"", ""identifier""], [""movie_companies.movie_id"", ""identifier""], [""movie_keyword.movie_id"", ""identifier""], [""="", ""keyword""], [""Index Scan"", ""keyword""], [""Inner"", ""keyword""], [""Nested Loop"", ""keyword""], [""company_name"", ""identifier""], [""company_name_pkey"", ""identifier""], [""company_name.country_code"", ""identifier""], [""[de]"", ""string""], [""="", ""keyword""], [""company_name.id"", ""identifier""], [""movie_companies.company_id"", ""identifier""], [""="", ""keyword""], [""Index Scan"", ""keyword""], [""Inner"", ""keyword""], [""Nested Loop"", ""keyword""], [""title"", ""identifier""], [""title_pkey"", ""identifier""], [""title.id"", ""identifier""], [""movie_keyword.movie_id"", ""identifier""], [""="", ""keyword""], [""Index Scan"", ""keyword""], [""movie_companies.movie_id"", ""identifier""], [""title.id"", ""identifier""], [""="", ""keyword""], [""Inner"", ""keyword""], [""Nested Loop"", ""keyword""], [""Aggregate"", ""keyword""]]",3856.23,670.5735
2d,"[[""keyword"", ""identifier""], [""keyword.keyword"", ""identifier""], [""character-name-in-title"", ""string""], [""="", ""keyword""], [""Seq Scan"", ""keyword""], [""keyword_id_movie_keyword"", ""identifier""], [""keyword_id"", ""identifier""], [""keyword.id"", ""identifier""], [""="", ""keyword""], [""Bitmap Index Scan"", ""keyword""], [""movie_keyword"", ""identifier""], [""movie_keyword.keyword_id"", ""identifier""], [""keyword.id"", ""identifier""], [""="", ""keyword""], [""Bitmap Heap Scan"", ""keyword""], [""Inner"", ""keyword""], [""Nested Loop"", ""keyword""], [""title"", ""identifier""], [""title_pkey"", ""identifier""], [""title.id"", ""identifier""], [""movie_keyword.movie_id"", ""identifier""], [""="", ""keyword""], [""Index Scan"", ""keyword""], [""Inner"", ""keyword""], [""Nested Loop"", ""keyword""], [""movie_companies"", ""identifier""], [""movie_id_movie_companies"", ""identifier""], [""movie_companies.movie_id"", ""identifier""], [""movie_keyword.movie_id"", ""identifier""], [""="", ""keyword""], [""Index Scan"", ""keyword""], [""title.id"", ""identifier""], [""movie_companies.movie_id"", ""identifier""], [""="", ""keyword""], [""Inner"", ""keyword""], [""Nested Loop"", ""keyword""], [""company_name"", ""identifier""], [""company_name_pkey"", ""identifier""], [""company_name.country_code"", ""identifier""], [""[us]"", ""string""], [""="", ""keyword""], [""company_name.id"", ""identifier""], [""movie_companies.company_id"", ""identifier""], [""="", ""keyword""], [""Index Scan"", ""keyword""], [""Inner"", ""keyword""], [""Nested Loop"", ""keyword""], [""Aggregate"", ""keyword""]]",3870.21,884.5235
2c,"[[""keyword"", ""identifier""], [""keyword.keyword"", ""identifier""], [""character-name-in-title"", ""string""], [""="", ""keyword""], [""Seq Scan"", ""keyword""], [""keyword_id_movie_keyword"", ""identifier""], [""keyword_id"", ""identifier""], [""keyword.id"", ""identifier""], [""="", ""keyword""], [""Bitmap Index Scan"", ""keyword""], [""movie_keyword"", ""identifier""], [""movie_keyword.keyword_id"", ""identifier""], [""keyword.id"", ""identifier""], [""="", ""keyword""], [""Bitmap Heap Scan"", ""keyword""], [""Inner"", ""keyword""], [""Nested Loop"", ""keyword""], [""movie_companies"", ""identifier""], [""movie_id_movie_companies"", ""identifier""], [""movie_companies.movie_id"", ""identifier""], [""movie_keyword.movie_id"", ""identifier""], [""="", ""keyword""], [""Index Scan"", ""keyword""], [""Inner"", ""keyword""], [""Nested Loop"", ""keyword""], [""company_name"", ""identifier""], [""company_name_pkey"", ""identifier""], [""company_name.country_code"", ""identifier""], [""[sm]"", ""string""], [""="", ""keyword""], [""company_name.id"", ""identifier""], [""movie_companies.company_id"", ""identifier""], [""="", ""keyword""], [""Index Scan"", ""keyword""], [""Inner"", ""keyword""], [""Nested Loop"", ""keyword""], [""title"", ""identifier""], [""title_pkey"", ""identifier""], [""title.id"", ""identifier""], [""movie_keyword.movie_id"", ""identifier""], [""="", ""keyword""], [""Index Scan"", ""keyword""], [""movie_companies.movie_id"", ""identifier""], [""title.id"", ""identifier""], [""="", ""keyword""], [""Inner"", ""keyword""], [""Nested Loop"", ""keyword""], [""Aggregate"", ""keyword""]]",3853.22,605.8655
2b,"[[""keyword"", ""identifier""], [""keyword.keyword"", ""identifier""], [""character-name-in-title"", ""string""], [""="", ""keyword""], [""Seq Scan"", ""keyword""], [""keyword_id_movie_keyword"", ""identifier""], [""keyword_id"", ""identifier""], [""keyword.id"", ""identifier""], [""="", ""keyword""], [""Bitmap Index Scan"", ""keyword""], [""movie_keyword"", ""identifier""], [""movie_keyword.keyword_id"", ""identifier""], [""keyword.id"", ""identifier""], [""="", ""keyword""], [""Bitmap Heap Scan"", ""keyword""], [""Inner"", ""keyword""], [""Nested Loop"", ""keyword""], [""movie_companies"", ""identifier""], [""movie_id_movie_companies"", ""identifier""], [""movie_companies.movie_id"", ""identifier""], [""movie_keyword.movie_id"", ""identifier""], [""="", ""keyword""], [""Index Scan"", ""keyword""], [""Inner"", ""keyword""], [""Nested Loop"", ""keyword""], [""company_name"", ""identifier""], [""company_name_pkey"", ""identifier""], [""company_name.country_code"", ""identifier""], [""[nl]"", ""string""], [""="", ""keyword""], [""company_name.id"", ""identifier""], [""movie_companies.company_id"", ""identifier""], [""="", ""keyword""], [""Index Scan"", ""keyword""], [""Inner"", ""keyword""], [""Nested Loop"", ""keyword""], [""title"", ""identifier""], [""title_pkey"", ""identifier""], [""title.id"", ""identifier""], [""movie_keyword.movie_id"", ""identifier""], [""="", ""keyword""], [""Index Scan"", ""keyword""], [""movie_companies.movie_id"", ""identifier""], [""title.id"", ""identifier""], [""="", ""keyword""], [""Inner"", ""keyword""], [""Nested Loop"", ""keyword""], [""Aggregate"", ""keyword""]]",3853.72,651.114
3b,"[[""keyword"", ""identifier""], [""keyword.keyword"", ""identifier""], [""%sequel%"", ""string""], [""~~"", ""keyword""], [""Seq Scan"", ""keyword""], [""keyword_id_movie_keyword"", ""identifier""], [""keyword_id"", ""identifier""], [""keyword.id"", ""identifier""], [""="", ""keyword""], [""Bitmap Index Scan"", ""keyword""], [""movie_keyword"", ""identifier""], [""movie_keyword.keyword_id"", ""identifier""], [""keyword.id"", ""identifier""], [""="", ""keyword""], [""Bitmap Heap Scan"", ""keyword""], [""Inner"", ""keyword""], [""Nested Loop"", ""keyword""], [""title"", ""identifier""], [""title_pkey"", ""identifier""], [""title.production_year"", ""identifier""], [""2010"", ""number""], ["">"", ""keyword""], [""title.id"", ""identifier""], [""movie_keyword.movie_id"", ""identifier""], [""="", ""keyword""], [""Index Scan"", ""keyword""], [""Inner"", ""keyword""], [""Nested Loop"", ""keyword""], [""movie_info"", ""identifier""], [""movie_id_movie_info"", ""identifier""], [""movie_info.info"", ""identifier""], [""Bulgaria"", ""string""], [""="", ""keyword""], [""movie_info.movie_id"", ""identifier""], [""movie_keyword.movie_id"", ""identifier""], [""="", ""keyword""], [""Index Scan"", ""keyword""], [""title.id"", ""identifier""], [""movie_info.movie_id"", ""identifier""], [""="", ""keyword""], [""Inner"", ""keyword""], [""Nested Loop"", ""keyword""], [""Aggregate"", ""keyword""]]",16603.55,173.60899999999998
3a,"[[""keyword"", ""identifier""], [""keyword.keyword"", ""identifier""], [""%sequel%"", ""string""], [""~~"", ""keyword""], [""Seq Scan"", ""keyword""], [""keyword_id_movie_keyword"", ""identifier""], [""keyword_id"", ""identifier""], [""keyword.id"", ""identifier""], [""="", ""keyword""], [""Bitmap Index Scan"", ""keyword""], [""movie_keyword"", ""identifier""], [""movie_keyword.keyword_id"", ""identifier""], [""keyword.id"", ""identifier""], [""="", ""keyword""], [""Bitmap Heap Scan"", ""keyword""], [""Inner"", ""keyword""], [""Nested Loop"", ""keyword""], [""title"", ""identifier""], [""title_pkey"", ""identifier""], [""title.production_year"", ""identifier""], [""2005"", ""number""], ["">"", ""keyword""], [""title.id"", ""identifier""], [""movie_keyword.movie_id"", ""identifier""], [""="", ""keyword""], [""Index Scan"", ""keyword""], [""Inner"", ""keyword""], [""Nested Loop"", ""keyword""], [""movie_info"", ""identifier""], [""movie_id_movie_info"", ""identifier""], [""movie_info.info"", ""identifier""], [""Sweden"", ""string""], [""Norway"", ""string""], [""Germany"", ""string""], [""Denmark"", ""string""], [""Swedish"", ""string""], [""Denish"", ""string""], [""Norwegian"", ""string""], [""German"", ""string""], [""ANY"", ""keyword""], [""="", ""keyword""], [""movie_info.movie_id"", ""identifier""], [""movie_keyword.movie_id"", ""identifier""], [""="", ""keyword""], [""Index Scan"", ""keyword""], [""title.id"", ""identifier""], [""movie_info.movie_id"", ""identifier""], [""="", ""keyword""], [""Inner"", ""keyword""], [""Nested Loop"", ""keyword""], [""Aggregate"", ""keyword""]]",16815.83,262.199
